Raga Name Raw,Raga Name,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,avro_path,pali,value,raaga,Raga_Rank
Hamsānandi,Hamsānandi,S R1 G3 M2 D2 N3 S,S N3 D2 M2 G3 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-D2-N3-S,S-N3-D2-M2-G3-R1-S,True,1,Hamsānandi,53.0
Mechakāngi,Mechakāngi,S R1 G3 M2 P D2 P N3 S,S N3 P D2 P M2 G3 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-P-D2-P-N3-S,S-N3-P-D2-P-M2-G3-R1-S,True,1,Mechakāngi,53.0
Padmakalyāni,Padmakalyāni,S G3 P N3 S,S N3 D2 P M2 G3 S,0.0,Gamanāśrama,S-G3-P-N3-S,S-N3-D2-P-M2-G3-S,False,1,Padmakalyāni,53.0
Poorvi Kalyāni,Poorvi Kalyāni,S R1 G3 M2 P D2 P S,S N3 D2 P M2 G3 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-P-D2-P-S,S-N3-D2-P-M2-G3-R1-S,False,1,Poorvi Kalyāni,53.0
Sharabadhvāja,Sharabadhvāja,S R1 G3 M2 P D2 S,S D2 P G3 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-P-D2-S,S-D2-P-G3-R1-S,False,1,Sharabadhvāja,53.0
Vaishaka,Vaishaka,S R1 G3 M2 P D2 N3 S,S N3 D2 N3 P M2 G3 M2 R1 S,0.0,Gamanāśrama,S-R1-G3-M2-P-D2-N3-S,S-N3-D2-N3-P-M2-G3-M2-R1-S,False,1,Vaishaka,53.0
54 Viśvambari,Viśvambari,S R1 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R1 S,1.0,Viśvambari,S-R1-G3-M2-P-D3-N3-S,S-N3-D3-P-M2-G3-R1-S,True,1,Viśvambari,54.0
Vamshavathi,Vamshavathi,S R1 G3 M2 P D3 N3 S,S N3 P M2 G3 R1 S,0.0,Viśvambari,S-R1-G3-M2-P-D3-N3-S,S-N3-P-M2-G3-R1-S,False,1,Vamshavathi,54.0
Hemāngi,Hemāngi,S R1 G3 M2 D3 S,S D3 M2 G3 R1 S,0.0,Viśvambari,S-R1-G3-M2-D3-S,S-D3-M2-G3-R1-S,True,1,Hemāngi,54.0
Sharadhyuthi,Sharadhyuthi,S R1 G3 M2 P D3 N3 D3 S,S N3 D3 P M2 G3 R1 S,0.0,Viśvambari,S-R1-G3-M2-P-D3-N3-D3-S,S-N3-D3-P-M2-G3-R1-S,False,1,Sharadhyuthi,54.0
Suddhakriyā,Suddhakriyā,S R1 M2 M2 P D3 S,S D3 P M2 G3 R1 S,0.0,Viśvambari,S-R1-M2-M2-P-D3-S,S-D3-P-M2-G3-R1-S,False,1,Suddhakriyā,54.0
Sundarāngi,Sundarāngi,S R1 G3 P D3 N3 S,S N3 D3 P G3 R1 S,0.0,Viśvambari,S-R1-G3-P-D3-N3-S,S-N3-D3-P-G3-R1-S,True,1,Sundarāngi,54.0
Vijayavasantham,Vijayavasantham,S M2 P D3 N3 S,S N3 P M2 G3 S,0.0,Viśvambari,S-M2-P-D3-N3-S,S-N3-P-M2-G3-S,False,1,Vijayavasantham,54.0
55 Śāmaḻāngi,Śāmaḻāngi,S R2 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R2 S,1.0,Śāmaḻāngi,S-R2-G2-M2-P-D1-N1-S,S-N1-D1-P-M2-G2-R2-S,True,1,Śāmaḻāngi,55.0
Deshāvali,Deshāvali,S R2 G2 M2 D1 N1 D1 S,S N1 D1 M2 G2 R2 S,0.0,Śāmaḻāngi,S-R2-G2-M2-D1-N1-D1-S,S-N1-D1-M2-G2-R2-S,False,1,Deshāvali,55.0
Vijayamālavi,Vijayamālavi,S R2 M2 P D1 S,S N1 D1 P M2 R2 S,0.0,Śāmaḻāngi,S-R2-M2-P-D1-S,S-N1-D1-P-M2-R2-S,False,1,Vijayamālavi,55.0
56 Śanmukhapriyā,Śanmukhapriyā,S R2 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R2 S,1.0,Śanmukhapriyā,S-R2-G2-M2-P-D1-N2-S,S-N2-D1-P-M2-G2-R2-S,True,1,Śanmukhapriyā,56.0
Chāmaram,Chāmaram,S R2 M2 P D1 N2 S,S N2 D1 P M2 G2 R2 S,0.0,Śanmukhapriyā,S-R2-M2-P-D1-N2-S,S-N2-D1-P-M2-G2-R2-S,False,1,Chāmaram,56.0
Bhāshini,Bhāshini,S G2 R2 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R1 S,0.0,Śanmukhapriyā,S-G2-R2-G2-M2-P-D1-N2-S,S-N2-D1-P-M2-G2-R1-S,False,1,Bhāshini,56.0
Chintāmani,Chintāmani,S G2 R2 G2 M2 G2 R2 G2 P M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S,0.0,Śanmukhapriyā,S-G2-R2-G2-M2-G2-R2-G2-P-M2-P-D2-N2-S,S-N2-D2-P-M2-G2-R2-S,False,1,Chintāmani,56.0
Dhanakari,Dhanakari,S G2 P D1 N2 S,S N2 D1 M2 G2 S,0.0,Śanmukhapriyā,S-G2-P-D1-N2-S,S-N2-D1-M2-G2-S,False,1,Dhanakari,56.0
Garigadya,Garigadya,N2 S G2 M2 P D1 N2,D1 P M2 G2 R2 S,0.0,Śanmukhapriyā,N2-S-G2-M2-P-D1-N2,D1-P-M2-G2-R2-S,False,1,Garigadya,56.0
Gopikathilakam,Gopikathilakam,S R2 G2 M2 P N2 S,S N2 P M2 G2 R2 S,0.0,Śanmukhapriyā,S-R2-G2-M2-P-N2-S,S-N2-P-M2-G2-R2-S,True,1,Gopikathilakam,56.0
