Raga Name Raw,raaga,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,value
44 Bhavapriyā,Bhavapriyā,S R1 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R1 S,1.0,Bhavapriyā,S-R1-G2-M2-P-D1-N2-S,1
45 Śubhapantuvarāḷi,Śubhapantuvarāḷi,S R1 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R1 S,1.0,Śubhapantuvarāḷi,S-R1-G2-M2-P-D1-N3-S,1
46 Śadvidamārgini,Śadvidamārgini,S R1 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R1 S,1.0,Śadvidamārgini,S-R1-G2-M2-P-D2-N2-S,1
47 Suvarnāngi,Suvarnāngi,S R1 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S,1.0,Suvarnāngi,S-R1-G2-M2-P-D2-N3-S,1
48 Divyamaṇi,Divyamaṇi,S R1 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R1 S,1.0,Divyamaṇi,S-R1-G2-M2-P-D3-N3-S,1
49 Dhavaḻāmbari,Dhavaḻāmbari,S R1 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R1 S,1.0,Dhavaḻāmbari,S-R1-G3-M2-P-D1-N1-S,1
50 Nāmanārāyaṇi,Nāmanārāyaṇi,S R1 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R1 S,1.0,Nāmanārāyaṇi,S-R1-G3-M2-P-D1-N2-S,1
51 Panthuvarāli (Kāmavardhini),Panthuvarāli (Kāmavardhini),S R1 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R1 S,1.0,Panthuvarāli (Kāmavardhini),S-R1-G3-M2-P-D1-N3-S,1
52 Rāmapriyā,Rāmapriyā,S R1 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R1 S,1.0,Rāmapriyā,S-R1-G3-M2-P-D2-N2-S,1
53 Gamanāśrama,Gamanāśrama,S R1 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R1 S,1.0,Gamanāśrama,S-R1-G3-M2-P-D2-N3-S,1
54 Viśvambari,Viśvambari,S R1 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R1 S,1.0,Viśvambari,S-R1-G3-M2-P-D3-N3-S,1
55 Śāmaḻāngi,Śāmaḻāngi,S R2 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R2 S,1.0,Śāmaḻāngi,S-R2-G2-M2-P-D1-N1-S,1
56 Śanmukhapriyā,Śanmukhapriyā,S R2 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R2 S,1.0,Śanmukhapriyā,S-R2-G2-M2-P-D1-N2-S,1
57 Simhendramadhyamam(Sumadhyuti),Simhendramadhyamam(Sumadhyuti),S R2 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R2 S,1.0,Simhendramadhyamam(Sumadhyuti),S-R2-G2-M2-P-D1-N3-S,1
58 Hemavati,Hemavati,S R2 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S,1.0,Hemavati,S-R2-G2-M2-P-D2-N2-S,1
59 Dharmavati,Dharmavati,S R2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R2 S,1.0,Dharmavati,S-R2-G2-M2-P-D2-N3-S,1
60 Nītimati,Nītimati,S R2 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R2 S,1.0,Nītimati,S-R2-G2-M2-P-D3-N3-S,1
61 Kāntāmani,Kāntāmani,S R2 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R2 S,1.0,Kāntāmani,S-R2-G3-M2-P-D1-N1-S,1
